,Unnamed: 0,Unnamed: 0.1,time_point,area,aqi,quality,primary_pollutant,pm2_5,pm2_5_24h,pm10,pm10_24h,co,co_24h,no2,no2_24h,o3,o3_24h,o3_8h,o3_8h_24h,so2,so2_24h,province
0,0,0,2018-09-07T09:00:00Z,七台河,19.0,优,,10.0,9.0,18.0,25.0,0.3,0.3,11.0,16.0,31.0,85.0,22.0,27.0,6.0,6.0,黑龙江省
1,1,1,2018-09-07T09:00:00Z,三亚,32.0,优,,9.0,7.0,31.0,20.0,0.45,0.45,11.0,9.0,30.0,65.0,19.0,34.0,6.0,5.0,海南省
2,2,2,2018-09-07T09:00:00Z,三明,44.0,优,,26.0,24.0,43.0,38.0,1.1,1.325,20.0,19.0,37.0,136.0,37.0,55.0,18.0,14.0,福建省
3,3,3,2017-01-04T10:00:00Z,三沙,30.0,优,,7.0,6.0,20.0,23.0,0.3,1.2,30.0,40.0,51.0,45.0,58.0,58.0,6.0,49.0,海南省
4,4,4,2018-09-07T09:00:00Z,三门峡,43.0,优,,8.0,10.0,42.0,57.0,0.625,0.525,29.0,26.0,33.0,128.0,40.0,68.0,10.0,7.0,河南省
5,5,5,2018-09-07T09:00:00Z,上海,94.0,良,颗粒物(PM2.5),70.0,62.0,73.0,84.0,1.378,1.089,70.0,36.0,33.0,230.0,54.0,100.0,10.0,11.0,上海
6,6,6,2018-09-07T09:00:00Z,上饶,75.0,良,颗粒物(PM2.5),54.0,48.0,86.0,81.0,0.8,0.8,14.0,13.0,77.0,162.0,65.0,68.0,18.0,24.0,江西省
7,7,7,2018-09-07T09:00:00Z,东莞,66.0,良,颗粒物(PM2.5),47.0,33.0,62.0,49.0,0.8,0.6,51.0,36.0,28.0,208.0,17.0,44.0,12.0,8.0,广东省
8,8,8,2018-09-07T09:00:00Z,东营,56.0,良,颗粒物(PM10),23.0,13.0,60.0,57.0,0.525,0.375,32.0,22.0,54.0,150.0,41.0,48.0,18.0,13.0,山东省
9,9,9,2018-09-07T09:00:00Z,中卫,54.0,良,颗粒物(PM10),20.0,14.0,55.0,45.0,0.65,0.5,25.0,22.0,21.0,85.0,9.0,20.0,17.0,12.0,宁夏回族自治区
10,10,10,2018-09-07T09:00:00Z,中山,48.0,优,,29.0,16.0,47.0,27.0,0.85,0.675,22.0,13.0,54.0,116.0,41.0,65.0,8.0,4.0,广东省
